State,Complaints,Per capita
AK,15,51542
AL,147,180727
AR,59,115745
AZ,213,261924
CA,1591,2050693
CO,180,273721
CT,109,233996
DC,82,105465
DE,44,58028
FL,1093,750511
GA,512,424606
HI,48,70110
IA,51,150512
ID,39,57029
IL,427,671407
IN,132,294212
KS,56,132153
KY,59,170667
LA,127,222008
MA,200,51163
MD,342,322234
ME,39,51163
MI,287,408218
MN,135,289125
MO,119,258135
MS,57,96979
MT,14,39846
NC,287,439672
ND,8,49772
NE,37,98250
NH,46,64118
NJ,465,509067
NM,55,84310
NV,159,123903
NY,733,1226619
OH,348,526196
OK,93,164303
OR,120,211241
PA,418,603872
RI,40,49962
SC,130,172176
SD,22,41142
TN,192,269602
TX,1099,1387598
UT,70,"131,017"
VA,373,"426,423"
VT,18,27723
WA,231,381017
WI,143,264126
WV,26,68541
WY,8,39538
